; For Cherry Trail and Braswell platforms
;
; rev 2.8.1
;
; These settings are not part recommendations, nor are they an indication these parts are supported on Intel platforms.
;  
; All parts on this list have NOT been validated, and it is the responsibility of the customer to validate the flash parts used on their platform.
; 
; Flash parts may change opcodes and architectures so please refer to the respective flash datasheet and errata/application note and flash vendor to confirm.
; 
; 
;
;Description of fields:
;  1) Display name
;  2) Device ID (2 or 3 bytes)
;  3) Device Size (in bits in hexadecimal (0x) notation, For example 8 Mbit = (8*1024*1024) = (8,388,608) convert to hex 0x800000
;                  16Mbit=0x1000000, 32Mbit=0x2000000, 64Mbit=0x4000000, 128Mbit=0x8000000, 256Mbit=0x10000000, 512Mbit=0x20000000
;  4) Block Erase Size (in bytes - 256, 4K, 64K)
;  5) Block Erase Command
;  6) Write Granularity (1 or 64)
;  7) Enable Write Status Register Command (1- True, 0- False)
;  8) Chip Erase Command
;  9) Chip Erase Timeout (in milliseconds)
;
; Winbond
W25Q40BV, 0XEF4013, 0x400000, 0x1000, 0x20, 64, 0, 0xc7, 80000	
MX25U12835F, 0xC22538, 0x8000000, 0x1000, 0x20, 64, 0, 0x60, 80000
MX25U1635E, 0xC22535, 0x1000000,  0x1000,  0x20, 64, 0, 0x60, 80000

; Micron/Numonyx
M25PE10, 0x208011, 0x100000, 0x1000, 0x20, 64, 0, 0xC7, 80000
M25PE20, 0x208012, 0x200000, 0x1000, 0x20, 64, 0, 0xC7, 80000
M25PE40, 0x208013, 0x400000, 0x1000, 0x20, 64, 0, 0xC7, 80000
M25PE80, 0x208014, 0x800000, 0x1000, 0x20, 64, 0, 0xC7, 80000
M25PE16, 0x208015, 0x1000000, 0x1000, 0x20, 64, 0, 0xC7, 80000
M25PX80, 0x207114, 0x800000, 0x1000, 0x20, 64, 0, 0xC7, 80000
M25PX16, 0x207115, 0x1000000, 0x1000, 0x20, 64, 0, 0xC7, 80000
M25PX32, 0x207116, 0x2000000, 0x1000, 0x20, 64, 0, 0xC7, 80000
M25PX64, 0x207117, 0x4000000, 0x1000, 0x20, 64, 0, 0xC7, 80000
N25Q16, 0x20BA15, 0x1000000, 0x1000, 0x20, 64, 0, 0xC7, 80000
N25Q128, 0x20BA18, 0x8000000, 0x10000, 0xD8, 64, 0, 0xC7, 80000
N25Q032, 0x20BA16, 0x2000000, 0x1000, 0x20, 64, 0, 0xC7, 80000
N25Q064, 0x20BA17, 0x4000000, 0x1000, 0x20, 64, 0, 0xC7, 80000
N25Q064Ax1E, 0x20BB17, 0x4000000, 0x1000, 0x20, 64, 0, 0xC7, 80000
N25Q128Ax1E, 0x20BB18, 0x8000000, 0x10000, 0xD8, 64, 0, 0xC7, 80000
N25Q032Ax1E, 0x20BB16, 0x2000000, 0x1000, 0x20, 64, 0, 0xC7, 80000
N25Q016Ax1E, 0x20BB15, 0x1000000, 0x1000, 0x20, 64, 0, 0xC7, 80000
; Atmel/Adesto
AT26DF081, 0x1F4500, 0x800000, 0x1000, 0x20,  1, 0, 0x60, 20000
AT25/26DF081A, 0x1F4501, 0x800000, 0x1000, 0x20, 64, 0, 0x60, 20000
AT25DF081, 0x1F4502, 0x800000, 0x1000, 0x20, 64, 0, 0X60, 20000
AT26DF161, 0x1F4600, 0x1000000, 0x1000, 0x20, 64, 0, 0x60, 35000
AT26DF161A, 0x1F4601, 0x1000000, 0x1000, 0X20, 64, 0, 0x60, 35000
AT25DF161, 0x1F4602, 0x1000000, 0x1000, 0x20, 64, 0, 0x60, 35000
AT25DQ161, 0x1F8600, 0x1000000, 0x1000, 0x20, 64, 0, 0x60, 35000
AT25/26DF321, 0x1F4700, 0x2000000, 0x1000, 0x20, 64, 0, 0x60, 60000
AT25DF321A, 0x1F4701, 0x2000000, 0x1000, 0x20, 64, 0, 0x60, 60000
AT25DF641(A), 0x1F4800, 0x4000000, 0x1000, 0x20, 64, 0, 0x60, 120000
AT25DQ641, 0x1F8800, 0x4000000, 0x1000, 0x20, 64, 0, 0x60, 120000
; SST/Microchip
SST25VF016B, 0xBF2541, 0x1000000, 0x1000, 0x20, 1, 0, 0x60, 50
SST25VF032B, 0XBF254A, 0x2000000, 0x1000, 0x20, 1, 0, 0x60, 50
SST25VF040B, 0xBF258D, 0x400000, 0x1000, 0x20, 1, 0, 0x60, 50
SST25VF080B, 0xBF258E, 0x800000, 0x1000, 0x20, 1, 0, 0x60, 50
SST25VF064C, 0xBF254B, 0x4000000, 0x1000, 0x20, 64, 0, 0x60, 50
SST26WF016B, 0xBF2651, 0x1000000,  0x1000, 0x20, 64, 0, 0x60, 50
; Chingis
Pm25LV080B, 0x9D7F13, 0x800000, 0x1000, 0x20, 64, 0, 0xc7, 80000
Pm25LV016B, 0x9D7F14, 0x1000000, 0x1000, 0x20, 64, 0, 0x60, 80000
Pm25LQ080, 0x7F9D44, 0x800000, 0x1000, 0x20, 64, 0, 0xC7, 80000
Pm25LQ016, 0x7F9D45, 0x1000000, 0x1000, 0x20, 64, 0, 0xC7, 80000
Pm25LQ032, 0x7F9D46, 0x2000000, 0x1000, 0x20, 64, 0, 0xC7, 80000
Pm25LD512C2, 0x7F9D20, 0x20000000, 0x1000, 0x20, 64, 0, 0xC7, 80000
; EON
EN25Q40A, 0x1C3013, 0x400000, 0x1000, 0x20, 64, 0, 0x60, 80000
EN25F80, 0x1C3114, 0x800000, 0x1000, 0x20, 64, 0, 0x60, 80000
EN25Q80B, 0x1C3014, 0x800000, 0x1000, 0x20, 64, 0, 0x60, 80000
EN25F16, 0x1C3115, 0x1000000, 0x1000, 0x20, 64, 0, 0x60, 80000
EN25F32, 0x1C3116, 0x2000000, 0x1000, 0x20, 64, 0, 0x60, 80000
EN25Q32B, 0x1C3016, 0x2000000, 0x1000, 0x20, 64, 0, 0x60, 80000
EN25Q64, 0x1C3017, 0x4000000, 0x1000, 0x20, 64, 0, 0x60, 80000
EN25Q128, 0x1C3018, 0x8000000, 0x1000, 0x20, 64, 0, 0x60, 80000
EN25Q16(A), 0x1C3015, 0x1000000, 0x1000, 0x20, 64, 0, 0x60, 80000
EN25QH16A, 0x1C7015, 0x1000000, 0x1000, 0x20, 64, 0, 0x60, 80000
EN25QH32A, 0x1C7016, 0x2000000, 0x1000, 0x20, 64, 0, 0x60, 80000
EN25QH256, 0x1C7019, 0x10000000, 0x1000, 0x20, 64, 0, 0x60, 80000
EN25QH128A, 0x1C7018, 0x4000000, 0x1000, 0x20, 64, 0, 0x60, 80000
EN25QH64A, 0x1C7017, 0x800000, 0x1000, 0x20, 64, 0, 0x60, 80000
EN25QH80, 0x1C7014, 0x800000, 0x1000, 0x20, 64, 0, 0x60, 80000
EN25F64, 0x1C3117, 0x4000000, 0x1000, 0x20, 64, 0, 0x60, 80000
EN25S64, 0x1C3817, 0x4000000, 0x1000, 0x20, 64, 0, 0x60, 80000
; AMIC
A25L016, 0x373015, 0x1000000, 0x1000, 0x20, 64, 0, 0xc7, 80000
A25L032, 0x373016, 0x2000000, 0x1000, 0x20, 64, 0, 0xc7, 80000
A25LQ32A, 0x374016, 0x2000000, 0x1000, 0x20, 64, 0, 0xc7, 80000
A25LQ16, 0x374015, 0x1000000, 0x1000, 0x20, 64, 0, 0xc7, 80000
A25L040, 0x373013, 0x400000, 0x1000, 0x20, 64, 0, 0xc7, 80000
A25L080, 0x373014, 0x800000, 0x1000, 0x20, 64, 0, 0xc7, 80000
A25LQ64, 0x374017, 0x4000000, 0x1000, 0x20, 64, 0, 0xc7, 80000
; GigaDeivce
GD25Q80, 0xC84014, 0x800000, 0x1000, 0x20, 64, 0, 0xc7, 80000
GD25Q16, 0xC84015, 0x1000000, 0x1000, 0x20, 64, 0, 0xc7, 80000
GD25Q32, 0xC84016, 0x2000000, 0x1000, 0x20, 64, 0, 0xc7, 80000
GD25Q64, 0xC84017, 0x4000000, 0x1000, 0x20, 64, 0, 0xc7, 80000
GD25Q128, 0xC84018, 0x8000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
GD25LQ16, 0xC86015, 0x1000000, 0x1000, 0x20, 64, 0, 0xc7, 80000
GD25LQ32C, 0xC86016, 0x2000000, 0x1000, 0x20, 64, 0, 0xc7, 80000
GD25LQ64, 0xC86017, 0x4000000, 0x1000, 0x20, 64, 0, 0xc7, 80000
GD25LQ128C, 0xC86018, 0x8000000, 0x1000, 0x20, 64, 0, 0xc7, 80000
GD25LQ256C, 0xC86019, 0x10000000, 0x1000, 0x20, 64, 0, 0xc7, 80000
GD25B64B, 0xC84017, 0x4000000, 0x1000, 0x20, 64, 0, 0xc7, 80000
; Spansion,  0xEF for old dies (S25FL0 series) from Winbond,  0x01 for thier own dies (S25FL1xx series)
S25FL164K, 0x014017, 0x4000000, 0x1000, 0x20, 64, 0, 0xc7, 80000
S25FL132K, 0x014016, 0x2000000, 0x1000, 0x20, 64, 0, 0xc7, 80000
S25FS128S, 0x012018, 0x8000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
S25FS256S, 0x012019, 0x8000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
; Fidelix
FM25Q16, 0xF83215, 0x1000000, 0x1000, 0x20, 64, 0, 0x60, 50000
FM25Q32, 0xF83216, 0x2000000, 0x1000, 0x20, 64, 0, 0x60, 80000
FM25Q64, 0xF83217, 0x4000000, 0x1000, 0x20, 64, 0, 0x60, 100000
FM25Q128, 0xF83218, 0x8000000, 0x1000, 0x20, 64, 0, 0x60, 150000
FM25M16A, 0xF84215, 0x1000000, 0x1000, 0x20, 64, 0, 0x60, 80000
; ESMT
F25L32PA(2S), 0x8C2116, 0x2000000, 0x1000, 0x20, 64, 0, 0xc7, 80000
F25L64PA, 0x8C2117, 0x4000000, 0x1000, 0x20, 64, 0, 0xc7, 80000
F225L16PA, 0x8C2015, 0x1000000, 0x1000, 0x20, 64, 0, 0xc7, 80000
F25L04PA, 0x8C3013, 0x400000, 0x1000, 0x20, 64, 0, 0x60, 80000
F25L08PA, 0x8C3014, 0x800000, 0x1000, 0x20, 64, 0, 0xc7, 80000
F25L16PA(2S), 0x8C2115, 0x1000000, 0x1000, 0x20, 64, 0, 0xc7, 80000
F25L32PA, 0x8C2016, 0x2000000, 0x1000, 0x20, 64, 0, 0xc7, 80000
